,time,energy_price,fcas_raise_price,fcas_lower_price
2550,2024-01-02 22:45,81.50403,0,0
2555,2024-01-02 22:50,81.50403,0,0
2560,2024-01-02 22:55,81.50403,0,0
2565,2024-01-02 23:00,81.50403,0,0
2570,2024-01-02 23:05,81.50403,0,0
2575,2024-01-02 23:10,81.50403,0,0
2580,2024-01-02 23:15,103.36642,0,0
2585,2024-01-02 23:20,103.36642,0,0
2590,2024-01-02 23:25,103.36642,0,0
2595,2024-01-02 23:30,103.36642,0,0
2600,2024-01-02 23:35,103.36642,0,0
2605,2024-01-02 23:40,103.36642,0,0
2610,2024-01-02 23:45,125.50665,0,0
2615,2024-01-02 23:50,125.50665,0,0
2620,2024-01-02 23:55,125.50665,0,0
2625,2024-01-03 00:00,125.50665,0,0
2630,2024-01-03 00:05,125.50665,0,0
2635,2024-01-03 00:10,125.50665,0,0
2640,2024-01-03 00:15,86.27381,0,0
2645,2024-01-03 00:20,86.27381,0,0
2650,2024-01-03 00:25,86.27381,0,0
2655,2024-01-03 00:30,86.27381,0,0
2660,2024-01-03 00:35,86.27381,0,0
2665,2024-01-03 00:40,86.27381,0,0
2670,2024-01-03 00:45,74.41318,0,0
2675,2024-01-03 00:50,74.41318,0,0
2680,2024-01-03 00:55,74.41318,0,0
2685,2024-01-03 01:00,74.41318,0,0
2690,2024-01-03 01:05,74.41318,0,0
2695,2024-01-03 01:10,74.41318,0,0
2700,2024-01-03 01:15,61.18691,0,0
2705,2024-01-03 01:20,61.18691,0,0
2710,2024-01-03 01:25,61.18691,0,0
2715,2024-01-03 01:30,61.18691,0,0
2720,2024-01-03 01:35,61.18691,0,0
2725,2024-01-03 01:40,61.18691,0,0
2730,2024-01-03 01:45,61.73534,0,0
2735,2024-01-03 01:50,61.73534,0,0
2740,2024-01-03 01:55,61.73534,0,0
2745,2024-01-03 02:00,61.73534,0,0
2750,2024-01-03 02:05,61.73534,0,0
2755,2024-01-03 02:10,61.73534,0,0
2760,2024-01-03 02:15,61.89273,0,0
2765,2024-01-03 02:20,61.89273,0,0
2770,2024-01-03 02:25,61.89273,0,0
2775,2024-01-03 02:30,61.89273,0,0
2780,2024-01-03 02:35,61.89273,0,0
2785,2024-01-03 02:40,61.89273,0,0
2790,2024-01-03 02:45,58,0,0
2795,2024-01-03 02:50,58,0,0
2800,2024-01-03 02:55,58,0,0
2805,2024-01-03 03:00,58,0,0
2810,2024-01-03 03:05,58,0,0
2815,2024-01-03 03:10,58,0,0
2820,2024-01-03 03:15,59.34525,0,0
2825,2024-01-03 03:20,59.34525,0,0
2830,2024-01-03 03:25,59.34525,0,0
2835,2024-01-03 03:30,59.34525,0,0
2840,2024-01-03 03:35,59.34525,0,0
2845,2024-01-03 03:40,59.34525,0,0
2850,2024-01-03 03:45,62.11576,0,0
2855,2024-01-03 03:50,62.11576,0,0
2860,2024-01-03 03:55,62.11576,0,0
2865,2024-01-03 04:00,62.11576,0,0
2870,2024-01-03 04:05,62.11576,0,0
2875,2024-01-03 04:10,62.11576,0,0
2880,2024-01-03 04:15,65.56387,0,0
2885,2024-01-03 04:20,65.56387,0,0
2890,2024-01-03 04:25,65.56387,0,0
2895,2024-01-03 04:30,65.56387,0,0
2900,2024-01-03 04:35,65.56387,0,0
2905,2024-01-03 04:40,65.56387,0,0
2910,2024-01-03 04:45,85.18236,0,0
2915,2024-01-03 04:50,85.18236,0,0
2920,2024-01-03 04:55,85.18236,0,0
2925,2024-01-03 05:00,85.18236,0,0
2930,2024-01-03 05:05,85.18236,0,0
2935,2024-01-03 05:10,85.18236,0,0
2940,2024-01-03 05:15,92.923,0,0
2945,2024-01-03 05:20,92.923,0,0
2950,2024-01-03 05:25,92.923,0,0
2955,2024-01-03 05:30,92.923,0,0
2960,2024-01-03 05:35,92.923,0,0
2965,2024-01-03 05:40,92.923,0,0
2970,2024-01-03 05:45,88.66,0,0
2975,2024-01-03 05:50,88.66,0,0
2980,2024-01-03 05:55,88.66,0,0
2985,2024-01-03 06:00,88.66,0,0
2990,2024-01-03 06:05,88.66,0,0
2995,2024-01-03 06:10,88.66,0,0
3000,2024-01-03 06:15,67.54051,0,0
3005,2024-01-03 06:20,67.54051,0,0
3010,2024-01-03 06:25,67.54051,0,0
3015,2024-01-03 06:30,67.54051,0,0
3020,2024-01-03 06:35,67.54051,0,0
3025,2024-01-03 06:40,67.54051,0,0
3030,2024-01-03 06:45,35.87994,0,0
3035,2024-01-03 06:50,35.87994,0,0
3040,2024-01-03 06:55,35.87994,0,0
3045,2024-01-03 07:00,35.87994,0,0
3050,2024-01-03 07:05,35.87994,0,0
3055,2024-01-03 07:10,35.87994,0,0
3060,2024-01-03 07:15,18.49979,0,0
3065,2024-01-03 07:20,18.49979,0,0
3070,2024-01-03 07:25,18.49979,0,0
